epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,18518.5,1.45212,1.21535,1.33493,0.50225,0.55944,0.48851,0.31036,2.34108,2.0657,1.99496,0.000412749,0.000412749,0.000412749
78,18799,1.4635,1.22884,1.33977,0.50137,0.5856,0.50001,0.31537,2.37388,2.04316,2.02352,0.000396246,0.000396246,0.000396246
79,19084.2,1.43548,1.17611,1.31104,0.48616,0.58008,0.50094,0.31206,2.34601,2.04807,1.99463,0.000379743,0.000379743,0.000379743
80,19350.9,1.41439,1.18974,1.31616,0.49877,0.61456,0.50756,0.31566,2.32352,1.99364,1.97333,0.000363239,0.000363239,0.000363239
81,19637.1,1.42088,1.15694,1.31611,0.51199,0.6053,0.51302,0.31522,2.34119,1.95082,2.00631,0.000346736,0.000346736,0.000346736
82,19918.1,1.44564,1.17268,1.33357,0.5206,0.5856,0.51463,0.31829,2.34718,1.96006,2.01135,0.000330233,0.000330233,0.000330233
83,20202.5,1.39396,1.14672,1.2976,0.54072,0.5659,0.51153,0.32761,2.32427,2.00502,2.00316,0.000313729,0.000313729,0.000313729
84,20492,1.37859,1.11332,1.28535,0.55019,0.58008,0.5144,0.32536,2.32738,2.03081,2.00762,0.000297226,0.000297226,0.000297226
85,20769.7,1.3643,1.12644,1.29161,0.55337,0.58102,0.51401,0.32013,2.34689,2.01741,2.01242,0.000280723,0.000280723,0.000280723
86,21057.8,1.38787,1.10786,1.30075,0.53468,0.56507,0.50893,0.31861,2.34837,2.01928,2.02562,0.00026422,0.00026422,0.00026422
87,21333.9,1.38797,1.11377,1.28506,0.55187,0.57621,0.51657,0.31905,2.34777,1.96309,2.01966,0.000247716,0.000247716,0.000247716
88,21626.8,1.36944,1.12102,1.30182,0.54392,0.59591,0.51635,0.31656,2.33873,1.93215,2.00745,0.000231213,0.000231213,0.000231213
89,21907.6,1.38555,1.12485,1.30479,0.55095,0.59779,0.52689,0.3264,2.33626,1.92528,2.01228,0.00021471,0.00021471,0.00021471
90,22195.5,1.30519,1.05208,1.23586,0.56603,0.59583,0.52445,0.32242,2.35006,1.92794,2.03246,0.000198206,0.000198206,0.000198206
