epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,5346.68,1.44059,1.27085,1.39188,0.6945,0.5409,0.50486,0.21306,2.15536,1.75003,1.89759,0.000289375,0.000289375,0.000289375
65,5457.97,1.48408,1.31315,1.41117,0.67597,0.53202,0.54485,0.24597,2.03441,1.7173,1.80154,0.000281762,0.000281762,0.000281762
66,5571.71,1.44044,1.30822,1.37239,0.70232,0.5375,0.53051,0.2351,2.05831,1.71104,1.7972,0.000274148,0.000274148,0.000274148
67,5737.45,1.44368,1.27043,1.37504,0.6897,0.53479,0.53016,0.22518,2.0818,1.69986,1.81431,0.000266535,0.000266535,0.000266535
68,5905.09,1.42982,1.27379,1.36476,0.67761,0.56707,0.52164,0.23602,2.05227,1.71055,1.83575,0.000258922,0.000258922,0.000258922
69,6079.49,1.42431,1.28806,1.39057,0.6769,0.53721,0.51899,0.22581,2.08346,1.70004,1.86235,0.000251309,0.000251309,0.000251309
70,6247.92,1.42206,1.24468,1.36422,0.70382,0.51221,0.52242,0.22349,2.10545,1.67355,1.87208,0.000243696,0.000243696,0.000243696
71,6415.17,1.43829,1.28652,1.39216,0.72533,0.52593,0.54326,0.24053,2.06061,1.66517,1.85205,0.000236083,0.000236083,0.000236083
72,6589.25,1.42576,1.27823,1.36789,0.68259,0.52709,0.53511,0.23547,2.05104,1.65007,1.83611,0.00022847,0.00022847,0.00022847
73,6761.09,1.4127,1.23175,1.37143,0.71712,0.51245,0.52795,0.22686,2.06161,1.62734,1.83603,0.000220857,0.000220857,0.000220857
74,6928.58,1.41923,1.27021,1.35442,0.649,0.54159,0.52989,0.23367,2.06223,1.63147,1.84223,0.000213244,0.000213244,0.000213244
75,7103.75,1.38137,1.21294,1.33828,0.65189,0.53165,0.52622,0.22881,2.07754,1.63787,1.83468,0.000205631,0.000205631,0.000205631
76,7274.26,1.40871,1.22622,1.34742,0.72913,0.50412,0.52913,0.22525,2.06506,1.65895,1.82406,0.000198018,0.000198018,0.000198018
77,7442.08,1.39528,1.21023,1.34525,0.72023,0.49001,0.51616,0.22383,2.08582,1.65,1.85464,0.000190404,0.000190404,0.000190404
78,7618.27,1.3712,1.21617,1.33063,0.70173,0.53528,0.53256,0.22802,2.08719,1.65623,1.84303,0.000182791,0.000182791,0.000182791
79,7789.91,1.35859,1.17162,1.334,0.75485,0.51016,0.53494,0.22861,2.0694,1.62682,1.84759,0.000175178,0.000175178,0.000175178
80,7960.19,1.35197,1.15819,1.31093,0.75612,0.50836,0.53176,0.23079,2.05129,1.6523,1.83648,0.000167565,0.000167565,0.000167565
81,8134.02,1.34645,1.13473,1.33313,0.73203,0.49358,0.5201,0.22873,2.05288,1.62217,1.85267,0.000159952,0.000159952,0.000159952
82,8308.4,1.38504,1.20435,1.32801,0.75134,0.49601,0.52452,0.2352,2.04362,1.59904,1.85322,0.000152339,0.000152339,0.000152339
